Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,39.492 %,60 %,faster,39.30,1056989,7830087,16.918900706093197,0.7482373691756268,0.1212439189964157
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,39.492 %,60 %,fast,48.20,1084443,8033467,16.918859415053763,0.7482026587813623,0.12115946021505389
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,39.492 %,60 %,medium,61.56,1088185,8061188,16.921220985663098,0.7481656186379929,0.12152098996415767
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,39.492 %,60 %,slow,145.42,1099301,8143528,16.918841638709676,0.7475367569892463,0.12161294121863786
C:\Video Compression\Files\Input\fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,58128,30.000,1394,15029044,110591542,3,39.492 %,60 %,slower,314.19,1043580,7730752,16.920958705376343,0.7482497663082432,0.121581151971326
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,18.416 %,95 %,superfast,4.08,946596,1207270,39.777004940239046,0.964487386454183,0.7008370159362554
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,18.416 %,95 %,veryfast,4.97,891495,1136995,40.169271629482026,0.9710468685258965,0.7188875976095619
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,18.416 %,95 %,faster,4.95,891416,1136894,40.17506240637448,0.9710825537848609,0.7190369960159355
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,18.416 %,95 %,fast,7.00,925868,1180834,40.36405647410362,0.9716711553784856,0.7241443904382465
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,18.416 %,95 %,medium,10.24,958049,1221876,40.59745551792829,0.9726623625498005,0.7309221314741039
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,18.416 %,95 %,slow,19.43,1017746,1298012,40.94170041832668,0.973783346613545,0.7407463864541838
C:\Video Compression\Files\Input\Forest_Slice.mov,1920,1080,10000,25.000,250,35782190,44869648,1,18.416 %,95 %,slower,46.88,974890,1243355,41.000200099601585,0.9739908764940245,0.7431791474103586
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,9.169 %,84 %,superfast,17.05,232947,1540268,44.58412452331189,0.9850589324758849,0.5870355618971057
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,9.169 %,84 %,veryfast,22.10,198938,1315393,44.773102012057926,0.9857977901929231,0.5934980675241167
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,9.169 %,84 %,faster,21.75,199270,1317592,44.773797866559555,0.9858093488745969,0.593625507234728
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,9.169 %,84 %,fast,27.35,218106,1442129,45.021487102893865,0.9862243930868168,0.6001725651125406
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,9.169 %,84 %,medium,41.24,201912,1335062,45.073198642283,0.9862780570739544,0.6052060964630227
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,9.169 %,84 %,slow,71.30,195455,1292366,45.16231011012864,0.9862217757234732,0.6072627966237935
C:\Video Compression\Files\Input\FroggerHighway.mp4,1920,1080,51833,24.000,1243,44999680,287798706,1,9.169 %,84 %,slower,161.47,204617,1352948,45.322399741157525,0.9866040458199354,0.6112323199356902
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,17.277 %,89 %,superfast,7.55,3471775,5508224,35.91841840192922,0.9533973215434077,0.6300899485530548
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,17.277 %,89 %,veryfast,9.35,3326828,5278255,36.065646421221864,0.9584090321543409,0.6413742604501605
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,17.277 %,89 %,faster,9.33,3322774,5271823,36.07119869774918,0.9584801929260446,0.6415783665594855
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,17.277 %,89 %,fast,11.69,3406262,5404282,36.33858421543406,0.9599685980707406,0.649047289389068
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,17.277 %,89 %,medium,15.79,3634118,5765792,36.806766787781335,0.962375006430868,0.6614145401929261
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,17.277 %,89 %,slow,33.34,3762414,5969343,37.291694479099675,0.9646510064308678,0.6746219196141476
C:\Video Compression\Files\Input\HS051.mov,1920,1080,12440,25.000,310,25583349,40090632,1,17.277 %,89 %,slower,101.58,3556804,5643128,37.4196441221865,0.9659151125401922,0.6791742700964631
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,26.722 %,92 %,superfast,3.86,759696,1211901,20.080714755775592,0.695878323432343,0.13039286468646857
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,26.722 %,92 %,veryfast,4.77,744772,1188094,20.121384551155117,0.6992108481848183,0.13244595379537943
C:\Video Compression\Files\Input\INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,1920,798,12600,30.000,302,11256843,17922984,1,26.722 %,92 %,faster,4.77,744028,1186908,20.12167436633664,0.6992967986798678,0.13253560726072605
