Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion ,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
bumblebee scene 5.mkv,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,superfast,87.37,42.17834473,10.15247726,42.89,0.973375757,0.506210937
bumblebee scene 5.mkv,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,veryfast,111.48,36.83325195,8.865854263,43.09,0.974431548,0.510363063
bumblebee scene 5.mkv,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,faster,111.6,36.81933594,8.862512589,43.1,0.974390241,0.510520047
bumblebee scene 5.mkv,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,fast,143.03,40.22009277,9.681111336,43.49,0.97562775,0.524985768
bumblebee scene 5.mkv,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,medium,214.89,39.43579102,9.49229908,43.64,0.976067692,0.532710298
bumblebee scene 5.mkv,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,slow,362.72,39.11889648,9.416040421,43.8,0.976337545,0.534980688
bumblebee scene 5.mkv,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,slower,809.75,36.68127441,8.829277992,43.87,0.976524787,0.53826521
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,superfast,485.92,992252,175256922,42.63,0.98925,0.999999982
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,veryfast,615.43,947847,167413698,42.79,0.9906,0.999999983
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,faster,616.82,947949,167431830,42.76,0.9906,0.999999983
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,fast,748.97,959974,169555629,43.04,0.99105,0.999999983
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,medium,1104.23,907180,160230964,43.23,0.99195,0.999999983
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,slow,1988.14,873310,154248671,43.52,0.99225,0.999999984
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,slower,5203.25,800236,141341939,43.72,0.9925,0.999999984
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,superfast,437.21,809480,136774126,42.63,0.9903,0.999999982
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,veryfast,548.84,776776,131248268,42.73,0.99185,0.999999983
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,faster,549.93,777664,131398375,42.8,0.99185,0.999999983
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,fast,667.66,796080,134510012,43.04,0.9922,0.999999983
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,medium,990.99,737583,124625969,43.19,0.99305,0.999999983
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,slow,1629.53,704307,119003477,43.52,0.99335,0.999999984
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,slower,4388.58,653595,110435039,43.73,0.99355,0.999999984
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,superfast,994.74,47.21081543,136.1260576,46.52,0.985756235,0.722891591
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,veryfast,1274.72,41.78442383,120.4797287,47.11,0.986562671,0.747582586
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,faster,1273.11,41.78344727,120.4769068,47.29,0.986602518,0.75012492
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,fast,1631.45,44.41174316,128.0552292,48.19,0.987274834,0.768423355
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,medium,2471.49,45.40124512,130.908452,48.06,0.987452958,0.771895101
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,slow,4325,45.83520508,132.159749,48.56,0.987701396,0.783780295
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,slower,9662.28,43.52197266,125.4896936,48.9,0.987812401,0.789922492
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,superfast,1027.62,51,149,46.32,0.987966178,0.71893927
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,veryfast,1306.78,45.875,134,47.16,0.98882479,0.749416573
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,faster,1303.47,45.875,134,46.99,0.988814552,0.746883628
