Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion ,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,veryfast,9.71,772017,1528123,41.97715407,0.974268126,0.682685925
180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,faster,9.69,772276,1528634,41.97821068,0.974286306,0.682722663
180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,fast,12.55,808366,1600071,42.21965092,0.974976455,0.689450781
180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,medium,18.33,787517,1558804,42.50652204,0.975664465,0.696008982
180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,slow,37.93,779087,1542117,42.78593592,0.976149535,0.704131666
180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,slower,83.55,759017,1502391,42.89183114,0.976426293,0.707650481
180301_03_B_CausewayBay_03.mp4,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,superfast,13.19,715006,2775836,41.13411042,0.960735272,0.518288786
180301_03_B_CausewayBay_03.mp4,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,veryfast,18.11,653883,2538540,41.08291768,0.960889866,0.517012255
180301_03_B_CausewayBay_03.mp4,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,faster,17.78,653627,2537548,41.08609544,0.96091522,0.517077597
180301_03_B_CausewayBay_03.mp4,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,fast,23.43,701906,2724979,41.45249929,0.962874572,0.529804954
180301_03_B_CausewayBay_03.mp4,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,medium,34.17,681874,2647211,41.62838711,0.963558281,0.536987699
180301_03_B_CausewayBay_03.mp4,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,slow,67.75,673571,2614974,41.80293154,0.963777038,0.54310389
180301_03_B_CausewayBay_03.mp4,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,slower,150.3,670375,2602568,41.87773985,0.964130487,0.545801417
180626_07_DMZ_08.mp4,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,superfast,4.34,3644107,3978364,33.52871247,0.959503819,0.611321219
180626_07_DMZ_08.mp4,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,veryfast,4.97,3477236,3796186,33.96721766,0.968915056,0.632801679
180626_07_DMZ_08.mp4,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,faster,4.98,3479032,3798147,33.96383774,0.968865921,0.632692791
180626_07_DMZ_08.mp4,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,fast,6.84,3434215,3749219,34.54986109,0.972105391,0.650818186
180626_07_DMZ_08.mp4,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,medium,10,4087885,4462848,34.93114,0.974011358,0.662214981
180626_07_DMZ_08.mp4,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,slow,19.03,4807413,5248374,35.55941231,0.976759898,0.68056093
180626_07_DMZ_08.mp4,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,slower,63.78,4088878,4463932,35.56637983,0.977945433,0.684530288
720-120fps View.MOV,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,superfast,10.02,7368881,9985506,29.67143235,0.907993954,0.480041254
720-120fps View.MOV,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,veryfast,14.12,7564286,10250297,30.1870951,0.918852487,0.501859839
720-120fps View.MOV,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,faster,14.22,7568005,10255337,30.19132284,0.918902166,0.50201556
720-120fps View.MOV,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,fast,16.98,7752511,10505359,30.27008012,0.920530346,0.504413968
720-120fps View.MOV,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,medium,25.52,9876848,13384031,31.160166,0.933076703,0.534908686
720-120fps View.MOV,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,slow,51.69,11394613,15440742,31.9799549,0.943562885,0.564869151
720-120fps View.MOV,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,slower,179,9615371,13029706,31.7597607,0.941293732,0.55734254
720-120fps Walking.MOV,1280,720,10.125,120,1215,5566.698608,56.74141026,1,0.426,0.6,superfast,16.83,18440224,23812273,27.16676332,0.892552245,0.419097141
720-120fps Walking.MOV,1280,720,10.125,120,1215,5566.698608,56.74141026,1,0.426,0.6,veryfast,20.61,16102423,20793418,27.14892883,0.893596004,0.41970908
