Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
rotating fan with light change_rotated.mp4,3840,2160,26114,29.97,783,48232549,158166601,5,0.06964,0.86926,superfast,49.42,1495668,4983651,25.6,0.953621054,0.085461049
rotating fan with light change_rotated.mp4,3840,2160,26114,29.97,783,48232549,158166601,5,0.06964,0.86926,veryfast,68.25,1087500,3623615,25.59,0.953692159,0.086036084
rotating fan with light change_rotated.mp4,3840,2160,26114,29.97,783,48232549,158166601,5,0.06964,0.86926,faster,68.58,1088181,3625881,25.59,0.953676554,0.0859683
rotating fan with light change_rotated.mp4,3840,2160,26114,29.97,783,48232549,158166601,5,0.06964,0.86926,fast,82.62,1087764,3624493,25.59,0.953824919,0.086022482
rotating fan with light change_rotated.mp4,3840,2160,26114,29.97,783,48232549,158166601,5,0.06964,0.86926,medium,145.81,1151634,3837310,25.59,0.953490143,0.086334493
rotating fan with light change_rotated.mp4,3840,2160,26114,29.97,783,48232549,158166601,5,0.06964,0.86926,slow,273.87,1117611,3723944,25.58,0.953885376,0.086584387
rotating fan with light change_rotated.mp4,3840,2160,26114,29.97,783,48232549,158166601,5,0.06964,0.86926,slower,587.94,940674,3134378,25.58,0.954089876,0.085892687
