videoname,averageintensitycomparision
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,0.617345286
Love.Death.and.Robots.S01E10.Shape-Shifters.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.350824588
Love.Death.and.Robots.S01E11.Helping.Hand.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.378489327
Love.Death.and.Robots.S01E12.Fish.Night.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.336581709
Love.Death.and.Robots.S01E13.Lucky.13.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.303210464
Love.Death.and.Robots.S01E14.Zima.Blue.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.216180371
Love.Death.and.Robots.S01E15.Blindspot.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.309018568
Love.Death.and.Robots.S01E16.Ice.Age.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.262187872
Love.Death.and.Robots.S01E17.Alternate.Histories.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.226108374
Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,0.272988506
Tumbbad cut 1.mkv,0.944444444
Tumbbad cut 2.mkv,0.285187814
Tumbbad cut 3.mkv,0.199118316
Tumbbad cut 4.mkv,0.105379966
Tumbbad cut 5.mkv,0.224293948
Tumbbad cut 6.mkv,0.174909689
Tumbbad cut 7.mkv,0.461465954
