"","Video.Name","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration","Metric"
"18","160416_30_Smartphone2.mov",1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"fast",6.53,25.61523438,0.290960312,44.9338441,0.984508538,0.736802206,1.9711091898599,2,2,1.09065244667503,1.38881146468487,1.80727526524975,1.83376473971815,1.83376473971815,3.9420792
"19","160416_30_Smartphone2.mov",1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"medium",9.7,30.20324707,0.343074799,44.86194481,0.984120605,0.730586773,1.88571434543867,1.84620852413574,1.71580086925496,1.1900878293601,1.8801395447707,1.58451695657841,1.55132123746566,1.44174306040718,2.4347029
"20","160416_30_Smartphone2.mov",1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"slow",15.47,31.32250977,0.355788231,44.94007817,0.984157773,0.731872738,1.97851339980079,1.86094334065023,1.77460129959804,1.37107904642409,2,1.44303379514183,1.35728377259047,1.29430998469882,2.0473138
"21","160416_30_Smartphone2.mov",1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"slower",35.52,28.43896484,0.323034286,44.95816909,0.984049685,0.731319185,2,1.81809312413551,1.74929022611027,2,1.69120039669417,1,0.909046562067754,0.874645113055135,1.6459857
"22","161212_068_Vietnam_1080p96fps.mp4",1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"superfast",14.12,162.0141602,5.243226051,40.84536715,0.973051863,0.526901736,1.10625362333417,1.00612459796288,1.09815580983664,1,2,1.10625362333417,1.00612459796288,1.09815580983664,1.605267
"23","161212_068_Vietnam_1080p96fps.mp4",1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"veryfast",19.36,147.1971436,4.763707161,40.69304923,0.973023427,0.52186978,1.00001199001192,1,1.00139722388883,1.03125186378004,1.01367057556828,0.969706843822215,0.969695217164999,0.971050098487303,2.8712012
"24","161212_068_Vietnam_1080p96fps.mp4",1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"faster",19.47,146.9918213,4.757061005,40.69303204,0.973037535,0.521797117,1,1.00303860697919,1,1.03190791435558,1,0.969078719223211,0.97202336858283,0.969078719223211,2.9101808
"25","161212_068_Vietnam_1080p96fps.mp4",1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"fast",24.41,152.335083,4.929985046,41.01470508,0.97435041,0.534224246,1.22436670068324,1.28580803835175,1.23895905080074,1.06137054929325,1.35568999133681,1.15357139078197,1.211460068501,1.16731998228681,2.6055746
"26","161212_068_Vietnam_1080p96fps.mp4",1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"medium",37.11,154.8243408,5.010545731,41.5529815,0.97614533,0.553146732,1.59981409413277,1.67240120811982,1.60281616480916,1.13711457028687,1.52139644362668,1.40690668815295,1.47074116524415,1.40954676572722,2.8179339
"27","161212_068_Vietnam_1080p96fps.mp4",1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"slow",78.44,160.5129395,5.194643021,42.02663309,0.977307188,0.570626873,1.93018571782143,1.92264432037016,1.93893868363254,1.3836106638039,1.90006885439477,1.39503530025915,1.38958478036323,1.40136147715276,2.2030684
"28","161212_068_Vietnam_1080p96fps.mp4",1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"slower",181.79,155.397583,5.029092789,42.12672536,0.977666344,0.573802383,2,2,2,2,1.55954615873392,1,1,1,1.9236366
"29","171124_B1_HD_001.mp4",1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"superfast",12.14,338.6887207,6.479351044,38.61975867,0.959620108,0.630305495,1.08058660358246,1,1.0123803818517,1,1.39866196757747,1.08058660358246,1,1.0123803818517,2.2113756
"30","171124_B1_HD_001.mp4",1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"veryfast",15.69,320.9060059,6.139155388,38.48625103,0.960262449,0.629583821,1,1.06377885925839,1,1.02635877635878,1.00736477307109,0.974318165376546,1.03645906651899,0.974318165376546,2.9632716
"31","171124_B1_HD_001.mp4",1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"faster",15.85,320.5712891,6.132752419,38.49209472,0.960309385,0.629809202,1.00352731221591,1.06843919471596,1.0038664311616,1.02754677754678,1,0.976624455590997,1.03979616117021,0.976954483335823,2.9933751
"32","171124_B1_HD_001.mp4",1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"fast",19.59,328.6102295,6.2865448,38.85621611,0.962860133,0.645014728,1.22331477989808,1.32170622530502,1.26471858620106,1.05531630531631,1.17689387315914,1.159192531884,1.2524266124258,1.19842608308984,3.0674348
"33","171124_B1_HD_001.mp4",1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"medium",27.39,345.1856689,6.603644371,39.35000762,0.965760657,0.662173383,1.52137248407704,1.60970296219644,1.55907684347731,1.11323136323136,1.54162566888635,1.3666274004902,1.44597342058705,1.40049669365386,2.7328927
"34","171124_B1_HD_001.mp4",1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"slow",64.19,366.0167236,7.002157211,40.04230284,0.969031002,0.683703397,1.93924909740171,1.93441969907197,1.92842615437453,1.38647163647164,2,1.39869366699546,1.39521043791042,1.39088756210123,2.0923958
"35","171124_B1_HD_001.mp4",1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"slower",146.82,360.7255859,6.900934219,40.14294872,0.969691486,0.687875561,2,2,2,2,1.88357207950609,1,1,1,1.5927184
"36","180301_03_B_CausewayBay_02.mp4",1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"superfast",7.05,101.5126953,1.56979084,41.90761842,0.972746748,0.678978568,1,1,1,1,2,1,1,1,1.5
"37","180301_03_B_CausewayBay_02.mp4",1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"veryfast",9.71,94.24035645,1.457331657,41.97715407,0.974268126,0.682685925,1.07065103771469,1.41346905663608,1.12930274307124,1.03477124183007,1.17912483823802,1.03467413321341,1.36597249662279,1.09135497530255,2.9615198
"38","180301_03_B_CausewayBay_02.mp4",1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"faster",9.69,94.27197266,1.457818985,41.97821068,0.974286306,0.682722663,1.07172459628443,1.41840988491783,1.13058406671365,1.03450980392157,1.18268199951343,1.03597335880413,1.37109370983339,1.09286935940857,2.9593216
"39","180301_03_B_CausewayBay_02.mp4",1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"fast",12.55,98.67749023,1.525946617,42.21965092,0.974976455,0.689450781,1.317037662346,1.60597356466628,1.36524291211403,1.0718954248366,1.67996714285704,1.22869977035938,1.49825582557281,1.27367174117955,2.3813724
"40","180301_03_B_CausewayBay_02.mp4",1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"medium",18.33,96.13244629,1.486591339,42.50652204,0.975664465,0.696008982,1.60851034317053,1.79295592253935,1.59397550487824,1.14745098039216,1.39270051568941,1.401811816502,1.56255557159103,1.38914474963757,3.12595
