"","Video.Name","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration","Metric"
"18","bumblebee scene 2.mkv",1920,1080,486.861,24,11672,1095.494629,720.5618916,21,0.29039,0.76157,"fast",413.75,213.0618896,103.3484507,41.51,0.96196452,0.445738529,1.41999999999999,1.48607367323515,1.51922891184561,1.04804381083568,1.27856901454631,1.3549051912894,1.41794995387663,1.44958530944829,3.3024736
"19","bumblebee scene 2.mkv",1920,1080,486.861,24,11672,1095.494629,720.5618916,21,0.29039,0.76157,"medium",670.87,221.6694336,107.523613,41.83,0.963857536,0.459975373,1.73999999999999,1.84138847517182,1.8162804866942,1.1264010873474,1.88088793447452,1.54474282699565,1.63475381536445,1.61246336415692,2.5477116
"20","bumblebee scene 2.mkv",1920,1080,486.861,24,11672,1095.494629,720.5618916,21,0.29039,0.76157,"slow",1577.38,223.371582,108.3492756,41.99,0.964158116,0.464892641,1.9,1.89780665820151,1.91887922299787,1.40265985652378,2,1.3545693142661,1.35300561242613,1.36802890171352,2.0378019
"21","bumblebee scene 2.mkv",1920,1080,486.861,24,11672,1095.494629,720.5618916,21,0.29039,0.76157,"slower",3537.48,216.005249,104.7760868,42.09,0.964702573,0.468780531,2,2,2,2,1.48452321991996,1,1,1,2.0208508
"22","bumblebee scene 3.mkv",1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"superfast",126.53,137.4226074,41.15905857,40.79,0.959704398,0.550320044,1,1,1,1,1.46503554633908,1,1,1,2.0477319
"23","bumblebee scene 3.mkv",1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"veryfast",164.6,130.161499,38.98427868,40.98,0.961676206,0.55504678,1.17924528301887,1.35070568605834,1.14678059903617,1.02691752927202,1.00745853014775,1.14833494356147,1.31530103202723,1.11672122283191,3.5538507
"24","bumblebee scene 3.mkv",1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"faster",164.65,130.0430908,38.94882965,40.98,0.961699906,0.55468763,1.17924528301887,1.35492096703882,1.13562781788997,1.02695288195034,1,1.14829541232632,1.31936040187708,1.10582270895744,3.5734785
"25","bumblebee scene 3.mkv",1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"fast",210.39,135.772583,40.66484737,41.26,0.963019867,0.564293401,1.44339622641509,1.58968917371778,1.4339183976017,1.05929351207647,1.36105275373365,1.36260272526892,1.50070698592461,1.3536554139663,3.0983113
"26","bumblebee scene 3.mkv",1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"medium",318.65,143.7050781,43.04069424,41.56,0.964325993,0.575037587,1.72641509433962,1.82199668789189,1.76756048322611,1.13583913117258,1.86093457014226,1.5199468366241,1.60409747990541,1.55617149886479,2.5149814
"27","bumblebee scene 3.mkv",1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"slow",630.37,145.9118652,43.7016468,41.75,0.964915826,0.580264579,1.90566037735849,1.92690435989892,1.92987566582088,1.35624186888399,2,1.4051036331201,1.42076749295796,1.42295833073559,2.1244147
"28","bumblebee scene 3.mkv",1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.86504,"slower",1540.85,141.9039307,42.50123787,41.85,0.965326799,0.582522774,2,2,2,2,1.74743212454533,1,1,1,1.7168049
"29","bumblebee scene 4.mkv",1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"superfast",89.68,50.65979004,12.13082218,45.05,0.982335927,0.340848801,1,1,1,1,2,1,1,1,1.5
"30","bumblebee scene 4.mkv",1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"veryfast",117.28,45.06091309,10.7901268,45.08,0.982512708,0.348095975,1.05,1.21320955879689,1.27775243389722,1.03434886499403,1.19538863376033,1.0151313889691,1.17292105193531,1.23532057426736,2.8638159
"31","bumblebee scene 4.mkv",1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"faster",117.17,45.05310059,10.78826046,45.09,0.982518427,0.350032066,1.06666666666668,1.22010705042078,1.35195432107372,1.03421196734369,1.19426855950658,1.03138109048027,1.17974563140528,1.30723136432673,2.9460359
"32","bumblebee scene 4.mkv",1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"fast",147.69,48.07702637,11.5123558,45.36,0.982987047,0.358172425,1.51666666666667,1.78529371326013,1.66393862351314,1.07219484269215,1.62883061550857,1.41454389284181,1.66508328726659,1.55189948436535,2.8434673
"33","bumblebee scene 4.mkv",1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"medium",224.82,47.05175781,11.26684761,45.39,0.982920226,0.364661553,1.56666666666667,1.70470317508935,1.91263847477525,1.16818498606133,1.48149015090659,1.34111179766902,1.45927502529968,1.63727363182772,2.9954033
"34","bumblebee scene 4.mkv",1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"slow",409.58,46.97119141,11.24757671,45.58,0.983132307,0.364314255,1.88333333333333,1.96048686473484,1.89932806373949,1.39812325766627,1.46992482040052,1.3470438482491,1.40222748887481,1.35848399154008,2.7945343
"35","bumblebee scene 4.mkv",1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.79566,"slower",893.2,43.70129395,10.46455765,45.65,0.983165069,0.366941008,2,2,2,2,1,1,1,1,3
"36","bumblebee scene 5.mkv",1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"superfast",87.37,42.17834473,10.15247726,42.89,0.973375757,0.506210937,1,1,1,1,2,1,1,1,1.5
"37","bumblebee scene 5.mkv",1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"veryfast",111.48,36.83325195,8.865854263,43.09,0.974431548,0.510363063,1.20408163265306,1.33527498944118,1.12953424337529,1.03337578559761,1.0276422999049,1.16519242025469,1.29214851755887,1.09305274917205,3.4548925
"38","bumblebee scene 5.mkv",1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"faster",111.6,36.81933594,8.862512589,43.1,0.974390241,0.510520047,1.21428571428572,1.32215761678994,1.13443168715759,1.03354190315346,1.02511684959608,1.17487806791459,1.27924916518225,1.09761557194372,3.46472
"39","bumblebee scene 5.mkv",1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"fast",143.03,40.22009277,9.681111336,43.49,0.97562775,0.524985768,1.61224489795919,1.71513862999083,1.58572006920887,1.07705085965835,1.64376799821507,1.49690693201861,1.59243977627471,1.47227965605252,2.7751035
"40","bumblebee scene 5.mkv",1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"medium",214.89,39.43579102,9.49229908,43.64,0.976067692,0.532710298,1.76530612244898,1.85484577790621,1.82670291726785,1.1765275893574,1.50107425543104,1.50043750645334,1.57654252623119,1.5526222536486,3.0841927
"41","bumblebee scene 5.mkv",1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"slow",362.72,39.11889648,9.416040421,43.8,0.976337545,0.534980688,1.92857142857143,1.94053978526722,1.89753247562345,1.38117057504361,1.44344222611828,1.39633110016881,1.40499647207294,1.37385816778173,2.8925202
"42","bumblebee scene 5.mkv",1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.86911,"slower",809.75,36.68127441,8.829277992,43.87,0.976524787,0.53826521,2,2,2,2,1,1,1,1,3
"43","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"superfast",485.92,992252,175256922,42.63,0.98925,0.999999982,1,1,1,1,2,1,1,1,1.5
"44","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"veryfast",615.43,947847,167413698,42.79,0.9906,0.999999983,1.14678899082569,1.41538461538463,1.50000002775557,1.02745408949554,1.76873867222637,1.11614621280912,1.37756482732922,1.45991927336826,2.2352823
"45","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"faster",616.82,947949,167431830,42.76,0.9906,0.999999983,1.11926605504587,1.41538461538463,1.50000002775557,1.02774874770262,1.76927330318874,1.08904638176191,1.37716987595315,1.45950071076088,2.2188302
"46","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"fast",748.97,959974,169555629,43.04,0.99105,0.999999983,1.37614678899082,1.55384615384615,1.50000002775557,1.05576247580729,1.83189456412229,1.30346249324551,1.47177626545024,1.42077414392721,2.2905319
"47","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"medium",1104.23,907180,160230964,43.23,0.99195,0.999999983,1.55045871559633,1.83076923076922,1.50000002775557,1.13107202591296,1.55695221784425,1.37078689957419,1.61861418974754,1.32617551613906,2.7718106
"48","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"slow",1988.14,873310,154248671,43.52,0.99225,0.999999984,1.81651376146789,1.9230769230769,2,1.3184470876534,1.38056135838252,1.37776766203107,1.45859241609736,1.51693611274128,3.1532798
