"","Video.Name","Metric","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration"
"16","Love.Death.and.Robots.S01E05.Sucker.of.Souls.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.0954239,1920,1080,780.448,24,18730,515.1367188,424.6321201,34,0.23666,0.80546,"medium",671.16,108.0953369,84.05501938,46.55,0.99005,0.722500049,1.59400544959128,1.77173913043478,1.66358565142609,1.14046100556002,1.42465460200038,1.39768518329003,1.55352889910057,1.45869577593247
"17","Love.Death.and.Robots.S01E06.When.the.Yogurt.Took.Over.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.3645989,1920,1080,380.448,24,9130,402.0966797,169.9555578,22,0.30209,0.86962,"faster",154.17,48.78027344,18.48989391,47.79,0.992,0.744000122,1.53203342618384,1.54237288135595,1.5407278462503,1.0331569664903,1.32765342847602,1.48286608509088,1.49287371752957,1.49128147631259
"18","Love.Death.and.Robots.S01E07.Beyond.the.Aquila.Rift.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",4.4976897,1920,1080,996.448,24,23914,562.3924561,601.0414085,10,0.14313,0.88018,"faster",449.47,53.64160156,53.2564497,47.59,0.99155,0.724700146,1.53698630136986,1.56862745098041,1.5363585606488,1.03207926302472,1,1.48921343198527,1.51987110600713,1.48860520280796
"19","Love.Death.and.Robots.S01E08.Good.Hunting.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.0423,1920,1080,1032.448,24,24778,289.3066406,342.2180662,18,0.25317,0.89664,"slow",1288.81,53.66955566,55.20937538,49.54,0.99435,0.780800195,1.95640326975477,1.94594594594592,1.95344380016688,1.34727639691042,1.42865373866555,1.45211723016985,1.44435540502927,1.44992059880699
"20","Love.Death.and.Robots.S01E09.The.Dump.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.8242225,1920,1080,634.432,24,15226,525.706665,359.9583921,6,0.16281,0.87744,"faster",298.6,61.28356934,38.73895359,46.48,0.99115,0.730150097,1.52901484480432,1.60344827586208,1.53430926337033,1.03307302984844,1.18125170065693,1.480064623339,1.55211512597256,1.48518954521097
"21","Love.Death.and.Robots.S01E10.Shape-Shifters.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",4.5207166,1920,1080,970.432,24,23290,654.296875,647.6422443,10,0.18503,0.86892,"faster",471.8,66.61315918,64.40924358,45.9,0.98795,0.6933,1.54829545454545,1.58461538461539,1.536354056902,1.03285944810551,1,1.49903789657476,1.53420234236316,1.48747640322215
"22","Love.Death.and.Robots.S01E11.Helping.Hand.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",4.5603594,1920,1080,604.448,24,14506,424.8046875,274.2544537,6,0.13804,0.90292,"faster",253.53,45.98059082,27.69112682,46.47,0.99015,0.704050049,1.53133514986376,1.63636363636364,1.54385050028699,1.03315305441723,1,1.48219583082735,1.58385403727685,1.49430957367476
"23","Love.Death.and.Robots.S01E12.Fish.Night.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.6998072,1920,1080,614.432,24,14746,528.9412842,350.4987516,16,0.29201,0.90233,"faster",265.9,71.29919434,43.64929771,46.36,0.9904,0.7204,1.52819807427785,1.44943820224718,1.49095797365388,1.03049677699755,1.1720474353168,1.48297220174759,1.40654316888817,1.44683419389036
"24","Love.Death.and.Robots.S01E13.Lucky.13.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.6342381,1920,1080,888.448,24,21322,755.6152344,680.450242,15,0.17377,0.87726,"faster",468.95,85.55566406,75.73477364,47.8,0.98805,0.697450244,1.54277699859747,1.50909090909091,1.53622390454877,1.03254358157106,1.2226730107589,1.49415194296213,1.46152756748027,1.48780538852543
"25","Love.Death.and.Robots.S01E14.Zima.Blue.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.6164073,1920,1080,624.448,24,14986,542.505249,364.5730247,30,0.31701,0.90323,"faster",263.55,62.91210938,39.14157963,47.61,0.99145,0.750150049,1.53741496598639,1.53030303030304,1.53388540432097,1.02813387960087,1.23760535386331,1.49534510679021,1.48842778228174,1.491912128133
"26","Love.Death.and.Robots.S01E15.Blindspot.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.1608379,1920,1080,524.448,24,12586,334.4726563,193.4730911,21,0.15209,0.83506,"slow",788.51,46.20751953,24.14454079,49.51,0.99435,0.751500146,1.95592286501377,1.93877551020404,1.95466174448879,1.36360664669027,1.35711618243932,1.43437469284941,1.42179969194915,1.43344985097654
"27","Love.Death.and.Robots.S01E16.Ice.Age.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",3.8259811,1920,1080,630.432,24,15130,526.493042,358.1271877,16,0.13178,0.90877,"faster",283.54,46.59020996,29.26520634,47.15,0.98975,0.710800049,1.53950953678474,1.6304347826087,1.55685412023537,1.03444012353913,1.1943150401678,1.48825388899032,1.57615191590838,1.50502101069795
"28","Love.Death.and.Robots.S01E18.The.Secret.War.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",4.2497975,1920,1080,982.432,24,23578,868.3200684,886.0022898,23,0.18962,0.8581,"faster",552.11,114.0140381,111.605093,49.36,0.97475,0.640650049,1.5589519650655,1.28358208955224,1.53376612497541,1.02976676212625,1,1.51388840891174,1.2464784616877,1.48943059864208
"29","Tumbbad cut 1.mkv",3.2258863,1920,816,121.457,24,2914,612.875,81.89019871,2,0.06957,0.89584,"veryfast",41.13,52,6.14,44.16,0.96730704,0.401763378,1.1590909090909,1.12948197682659,1.02066883044534,1.02583954930287,1,1.12989493325597,1.10103181106067,0.994959524751172
"30","Tumbbad cut 2.mkv",3.5672165,1920,816,123.083,24,2951,458.375,64.48530293,1,0.17339,0.92022,"veryfast",45.75,42.375,5.08,42.04,0.980230523,0.406489851,1.1734693877551,1.28331688291613,1.21155210912473,1.02834755248987,1,1.14112138927531,1.2479408151543,1.17815431776085
"31","Tumbbad cut 3.mkv",4.0191023,1920,816,123.323,24,2932,545.25,75.03220177,1,0.09452,0.92224,"faster",39.38,21.625,2.57,44.98,0.984118625,0.550029928,1.26732673267326,1.60588641049896,1.26561310933135,1.02978872145409,1,1.23066674383825,1.55943289826616,1.2290026905172
"32","Tumbbad cut 4.mkv",3.3896953,1920,816,62.916,24,1504,526.125,37.10638714,1,0.12157,0.92951,"veryfast",22,46.25,2.83,39.46,0.965909437,0.379201648,1.05434782608696,1.32120604233141,1.10617892433561,1.02715215215215,1,1.02647677257729,1.28628075165217,1.07693774677674
"33","Tumbbad cut 5.mkv",3.5056015,1920,816,66.235,24,1541,726.125,51.95376873,2,0.22824,0.85747,"medium",59.79,76.375,4.77,44.42,0.983915823,0.640101937,1.75471698113208,1.83570835095684,1.75973626604989,1.11919504643963,1.36363636363636,1.56783840914429,1.64020414207208,1.57232313674721
"34","Tumbbad cut 6.mkv",3.2946988,1920,816,62.166,24,1491,1066.25,69.33984566,1,0.17105,0.82503,"faster",31.06,95.75,5.79,45.73,0.983172751,0.41416431,1.24626865671642,1.08371494663283,1.05693213849588,1.02798947559427,1,1.21233600761911,1.05420821162235,1.028154629584
"35","Tumbbad cut 7.mkv",4.4305065,1920,816,121.25,24,2910,443.75,61.79137421,1,0.04935,0.32151,"fast",38.97,62.875,7.42,43.04,0.99779645,0.744215278,1.51626016260163,1.81682685281056,1.58384819577536,1.05517507062751,1.05175983436853,1.43697496729135,1.72182503490164,1.50102882437645
