,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,Normalized.Size,PSNR.By.Duration,SSIM.By.Duration,VIFp.By.Duration,Metric
20,1021607974-preview.mp4,596,336,16.56,25,414,109.8632813,1.841935158,1,0.16203,0.98908,slow,3.96,19.34289551,0.319161415,40.79,0.979113327,0.782939367,1.897959184,1.913814121,1.897114573,1.264825345,2,1.50057017,1.513105448,1.499902402,2.256789
21,1021607974-preview.mp4,596,336,16.56,25,414,109.8632813,1.841935158,1,0.16203,0.98908,slower,13.01,18.98657227,0.313282013,40.99,0.979902488,0.788336024,2,2,2,2,1.907640453,1,1,1,1.5726234
22,1080-60fps View.MOV,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,superfast,11.91,1190.526611,12.75196743,31.36447029,0.933180889,0.525328266,1,1,1,1,1,1,1,1,3
23,1080-60fps View.MOV,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,veryfast,15.57,1205.922363,12.91687489,31.68459954,0.936750144,0.543396121,1.123788149,1.123256,1.189891379,1.017800691,1.05435774,1.104133805,1.103610962,1.169080931,3.2027324
24,1080-60fps View.MOV,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,faster,16.41,1206.881226,12.92714691,31.68445676,0.936719404,0.543373788,1.123732939,1.122194464,1.189656661,1.021886095,1.057743662,1.099665554,1.09816003,1.164177365,3.1784666
25,1080-60fps View.MOV,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,fast,19.36,1229.886108,13.17355633,31.85761226,0.939585457,0.549888085,1.190689017,1.221167003,1.258121282,1.036233646,1.138966544,1.14905458,1.178466852,1.214128963,3.1095298
26,1080-60fps View.MOV,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,medium,28.08,1340.415161,14.3574543,32.68667528,0.949993005,0.577091413,1.511272584,1.580567699,1.544025584,1.078644035,1.529209763,1.401085562,1.465328364,1.431450538,2.8105134
27,1080-60fps View.MOV,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,slow,55.8,1473.757568,15.78571129,33.54849285,0.958588574,0.607870876,1.844521739,1.877395874,1.867514713,1.21346238,2,1.520048556,1.547139742,1.538996794,2.3030925
28,1080-60fps View.MOV,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,slower,217.52,1463.349731,15.67423153,33.95057608,0.962138952,0.620476635,2,2,2,2,1.963253404,1,1,1,1.5280758
29,1080-60fps Walking.MOV,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,superfast,22.3,2182.655029,23.92254829,31.09718175,0.887367935,0.455570501,1.340340724,1.396108452,1.341255956,1,1.967381607,1.340340724,1.396108452,1.341255956,2.0726559
30,1080-60fps Walking.MOV,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,veryfast,26.65,1860.764404,20.39453125,30.23789098,0.868054304,0.423064657,1,1,1,1.01475877,1,0.985455883,0.985455883,0.985455883,2.9563676
31,1080-60fps Walking.MOV,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,faster,26.02,1861.18689,20.39916229,30.24184613,0.868125554,0.423149708,1.001566523,1.001461285,1.000892891,1.012621293,1.00126983,0.989083016,0.98897909,0.98841778,2.9627177
32,1080-60fps Walking.MOV,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,fast,31.27,1884.202637,20.65142155,30.34512139,0.872382112,0.428838059,1.042470927,1.088760178,1.06061088,1.030433602,1.070439272,1.011681805,1.056603915,1.029285999,2.8937389
33,1080-60fps Walking.MOV,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,medium,41.25,2074.512207,22.73727226,31.54753678,0.897037238,0.471975714,1.51871359,1.594418788,1.51348273,1.064293954,1.642379143,1.426968164,1.498100015,1.4220533,2.6468441
34,1080-60fps Walking.MOV,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,slow,100.2,2193.508545,24.04150677,32.26929103,0.907959812,0.500611065,1.804579996,1.818432796,1.814105107,1.26430074,2,1.427334446,1.438291333,1.434868343,2.1502471
35,1080-60fps Walking.MOV,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,slower,317.04,2184.938721,23.94757748,32.7626866,0.916812746,0.518318215,2,2,2,2,1.974244606,1,1,1,1.5195685
36,1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,superfast,73.13,1476.731445,56.85347939,27.85,0.872431729,0.441749127,1.294117647,1.213930521,1.234521168,1,1.683238117,1.294117647,1.213930521,1.234521168,2.2234343
37,1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,veryfast,90.53,1369.747437,52.73464489,27.75,0.867780347,0.428382342,1,1,1.000767759,1.018781167,1.001431367,0.981565063,0.981565063,0.982318668,2.9412388
38,1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,faster,91.39,1369.522827,52.72599792,27.76,0.868028009,0.428338439,1.029411765,1.011390692,1,1.019709432,1,1.009514802,0.991842049,0.980671522,2.9820284
39,1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,fast,109.3,1397.991943,53.82204342,27.81,0.871123255,0.438176957,1.176470588,1.153750015,1.172052376,1.039041081,1.181432689,1.132265711,1.110398843,1.128013509,2.8530428
40,1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,medium,148.31,1466.674072,56.46627712,27.94,0.88026222,0.459982049,1.558823529,1.574077466,1.553371788,1.081147594,1.619143014,1.441823057,1.455932081,1.436780506,2.6770555
41,1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,slow,379.35,1526.435303,58.76705647,28.05,0.887719468,0.485521712,1.882352941,1.917057886,2,1.330526952,2,1.414742436,1.440826045,1.503163838,2.1793662
42,1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,slower,999.59,1496.196533,57.60287762,28.09,0.889522836,0.484610328,2,2,1.984062053,2,1.807288931,1,1,0.992031026,1.6555355
43,1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,superfast,48.59,1214.719604,35.41804028,27.52,0.883244203,0.459366212,1,1,1,1,1.548618608,1,1,1,1.9372104
44,1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,veryfast,61.03,1112.452026,32.43618679,27.55,0.88677319,0.462211461,1.103448276,1.188119874,1.054233266,1.019144352,1.002865174,1.082720297,1.165801363,1.034429778,3.2735721
45,1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,faster,61.37,1111.915039,32.42053223,27.56,0.887049111,0.46217598,1.137931034,1.202828408,1.053556963,1.01966759,1,1.115982351,1.179627969,1.033235707,3.328846
46,1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,fast,76.25,1147.981201,33.47212505,27.64,0.891308424,0.476376747,1.413793103,1.429879804,1.324237657,1.042566944,1.19246767,1.356069375,1.371499272,1.270170386,3.3524926
47,1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,medium,104.02,1236.097534,36.04136467,27.68,0.894322442,0.486814307,1.551724138,1.590548202,1.523187896,1.08530317,1.662702491,1.429760993,1.465533545,1.403467656,2.5854067
48,1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,slow,250.98,1299.302979,37.88426971,27.77,0.899314641,0.506291174,1.862068966,1.856667587,1.894436285,1.311465066,2,1.419838785,1.415720201,1.444519061,2.140039
49,1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,slower,698.39,1281.127686,37.35432816,27.81,0.902003449,0.511829381,2,2,2,2,1.903007501,1,1,1,1.576452
50,1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,superfast,31.32,1044.355591,21.96052837,28.22,0.902638312,0.476923101,1.068965517,1,1.118707932,1,1.685258856,1.068965517,1,1.118707932,1.8915038
51,1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,veryfast,40.7,957.6721191,20.13776493,28.2,0.903322636,0.470447068,1,1.044664934,1,1.024081538,1.001298994,0.976484745,1.020099372,0.976484745,2.9692119
52,1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,faster,40.87,957.5074463,20.13430309,28.2,0.903565197,0.471402993,1,1.060496573,1.017522437,1.024517984,1,0.976068762,1.035117577,0.993171865,3.0043582
53,1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,fast,50.78,988.3562012,20.78298473,28.29,0.907326069,0.48642732,1.310344828,1.305963777,1.292923564,1.049960206,1.243406355,1.247994752,1.243822165,1.231402444,2.9943705
54,1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,medium,68.47,1053.886597,22.16094685,28.38,0.912559553,0.504585941,1.620689655,1.647546442,1.625777388,1.095376242,1.760462359,1.479573495,1.504091817,1.484218231,2.5379035
55,1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,slow,162.63,1084.244995,22.79931831,28.45,0.916194499,0.521451561,1.862068966,1.88479462,1.934930054,1.337115864,2,1.392601057,1.409597082,1.447092288,2.1246452
56,1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,slower,420.83,1069.722168,22.49393654,28.49,0.917959593,0.525001409,2,2,2,2,1.885410872,1,1,1,1.5911651
57,1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,superfast,87.94,1273.741211,71.14186001,28.05,0.897623722,0.466329347,1,1,1,1,1.614741769,1,1,1,1.8578822
58,1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,veryfast,111.45,1163.594116,64.98985291,28.14,0.903125933,0.470989024,1.257142857,1.285709101,1.089634841,1.020536518,1.000455656,1.23184505,1.259836447,1.067707841,3.5577682
59,1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,faster,112.5,1163.512451,64.98528957,28.15,0.903106936,0.471039234,1.285714286,1.284722658,1.090600695,1.021453716,1,1.258710272,1.257739472,1.067694676,3.5841444
60,1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,fast,138.95,1196.118164,66.80640221,28.24,0.907588633,0.487765517,1.542857143,1.517440309,1.412352122,1.044558391,1.181840526,1.477042506,1.452709894,1.35210452,3.6230412
61,1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,medium,189.17,1274.792847,71.20059204,28.29,0.911649119,0.499454234,1.685714286,1.728286058,1.63719953,1.088426698,1.620606241,1.548762345,1.587875473,1.504189058,2.8636363
62,1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,slow,456.44,1342.821411,75.00017834,28.36,0.915319783,0.516187794,1.885714286,1.918889819,1.959090939,1.321893098,2,1.426525555,1.451622542,1.48203432,2.1800912
63,1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,slower,1232.73,1314.63855,73.42608833,28.4,0.91688181,0.518314456,2,2,2,2,1.842825013,1,1,1,1.6279354
64,160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,superfast,3.64,27.83935547,0.316223145,44.1162062,0.981986077,0.714932213,1,1,1,1,1.626985914,1,1,1,1.8439004
