Video.Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,veryfast,90.53,1369.747437,52.73464489,27.75,0.867780347,0.428382342
1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,faster,91.39,1369.522827,52.72599792,27.76,0.868028009,0.428338439
1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,fast,109.3,1397.991943,53.82204342,27.81,0.871123255,0.438176957
1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,medium,148.31,1466.674072,56.46627712,27.94,0.88026222,0.459982049
1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,slow,379.35,1526.435303,58.76705647,28.05,0.887719468,0.485521712
1080p60 Bike 1.mp4,1920,1080,38.644,59.94,2316,3051.875,115.7885351,1,0.29856,0.83765,slower,999.59,1496.196533,57.60287762,28.09,0.889522836,0.484610328
1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,superfast,48.59,1214.719604,35.41804028,27.52,0.883244203,0.459366212
1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,veryfast,61.03,1112.452026,32.43618679,27.55,0.88677319,0.462211461
1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,faster,61.37,1111.915039,32.42053223,27.56,0.887049111,0.46217598
1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,fast,76.25,1147.981201,33.47212505,27.64,0.891308424,0.476376747
1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,medium,104.02,1236.097534,36.04136467,27.68,0.894322442,0.486814307
1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,slow,250.98,1299.302979,37.88426971,27.77,0.899314641,0.506291174
1080p60 Bike 2.mp4,1920,1080,29.17,59.94,1749,3051.875,87.73809433,1,0.35597,0.80051,slower,698.39,1281.127686,37.35432816,27.81,0.902003449,0.511829381
1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,superfast,31.32,1044.355591,21.96052837,28.22,0.902638312,0.476923101
1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,veryfast,40.7,957.6721191,20.13776493,28.2,0.903322636,0.470447068
1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,faster,40.87,957.5074463,20.13430309,28.2,0.903565197,0.471402993
1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,fast,50.78,988.3562012,20.78298473,28.29,0.907326069,0.48642732
1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,medium,68.47,1053.886597,22.16094685,28.38,0.912559553,0.504585941
1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,slow,162.63,1084.244995,22.79931831,28.45,0.916194499,0.521451561
1080p60 Bike 3.mp4,1920,1080,21.031,59.94,1261,3051.875,63.2643404,1,0.22755,0.84514,slower,420.83,1069.722168,22.49393654,28.49,0.917959593,0.525001409
1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,superfast,87.94,1273.741211,71.14186001,28.05,0.897623722,0.466329347
1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,veryfast,111.45,1163.594116,64.98985291,28.14,0.903125933,0.470989024
1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,faster,112.5,1163.512451,64.98528957,28.15,0.903106936,0.471039234
1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,fast,138.95,1196.118164,66.80640221,28.24,0.907588633,0.487765517
1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,medium,189.17,1274.792847,71.20059204,28.29,0.911649119,0.499454234
1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,slow,456.44,1342.821411,75.00017834,28.36,0.915319783,0.516187794
1080p60 Bike 4.mp4,1920,1080,56.037,59.94,3358,3051.875,167.8426409,1,0.21832,0.84488,slower,1232.73,1314.63855,73.42608833,28.4,0.91688181,0.518314456
160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,superfast,3.64,27.83935547,0.316223145,44.1162062,0.981986077,0.714932213
160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,veryfast,4.72,21.98449707,0.24971962,44.6652567,0.984178115,0.731521357
160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,faster,4.75,22.00585938,0.249960899,44.65388,0.984169874,0.731572605
160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,fast,6.53,25.61523438,0.290960312,44.9338441,0.984508538,0.736802206
160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,medium,9.7,30.20324707,0.343074799,44.86194481,0.984120605,0.730586773
160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,slow,15.47,31.32250977,0.355788231,44.94007817,0.984157773,0.731872738
