,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration,Metric
20,Ants_3.mp4,1920,1080,30.564,29.97,916,1550.589355,46.2930994,1,0.06037,0.96987,slow,75.69,232.8007813,7.089641571,41.05,0.981648298,0.773028187,1.916030534,1.953182357,1.940340928,1.345399266,1.424135261,1.914238926,1.451749237,1.442204539,2.2557733
21,Ants_3.mp4,1920,1080,30.564,29.97,916,1550.589355,46.2930994,1,0.06037,0.96987,slower,189.8,233.9193115,7.123703957,41.16,0.981946126,0.775039533,2,2,2,2,1,2,1,1,1.5
22,Ants_4.mp4,1920,1080,30.564,29.97,916,1609.136841,48.04060078,1,0.03771,0.95022,superfast,13.26,243.0061035,7.400429726,40.24,0.985501393,0.699960887,1.146341463,1,1.109721458,1,1.146341463,1.147602342,1,1.109721458,2.8372746
23,Ants_4.mp4,1920,1080,30.564,29.97,916,1609.136841,48.04060078,1,0.03771,0.95022,veryfast,19.02,240.7391357,7.331392288,40.06,0.985778118,0.697340934,1,1.125727913,1,1.035387356,0.965822109,1.01172034,1.087252907,0.965822109,2.9839245
24,Ants_4.mp4,1920,1080,30.564,29.97,916,1609.136841,48.04060078,1,0.03771,0.95022,faster,19.09,240.5435791,7.325437546,40.06,0.985796638,0.697369152,1,1.134142335,1.001181746,1.035817411,0.965421115,1,1.094924958,0.966561998,3.0269081
25,Ants_4.mp4,1920,1080,30.564,29.97,916,1609.136841,48.04060078,1,0.03771,0.95022,fast,22.33,242.3594971,7.380738258,40.12,0.985982649,0.699617446,1.048780488,1.218655028,1.095338434,1.055722799,0.993424115,1.108844877,1.154332396,1.037524656,2.8726121
26,Ants_4.mp4,1920,1080,30.564,29.97,916,1609.136841,48.04060078,1,0.03771,0.95022,medium,28.42,245.442627,7.474632263,40.56,0.986747567,0.708902942,1.406504065,1.566189743,1.484207302,1.093137556,1.286667041,1.29365048,1.432747173,1.357749804,3.1516736
27,Ants_4.mp4,1920,1080,30.564,29.97,916,1609.136841,48.04060078,1,0.03771,0.95022,slow,61.11,254.147583,7.73972702,41.15,0.987453485,0.717406053,1.886178862,1.886918254,1.840310536,1.293973091,1.457664673,1.815419644,1.458236085,1.422217006,2.389595
28,Ants_4.mp4,1920,1080,30.564,29.97,916,1609.136841,48.04060078,1,0.03771,0.95022,slower,176.03,257.2269287,7.833506584,41.29,0.987702376,0.721219153,2,2,2,2,1,2,1,1,1.5
29,Apple_2.mp4,1920,1080,30.23,59.94,906,1840.933838,54.36264515,1,0.13714,0.93313,superfast,13.94,126.4870605,3.811919212,33.59,0.946299145,0.62097094,1,1,1,1,1,1.771243899,1,1,1.693725
