,Video.Name,Metric,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration
18,Black_Coffee.mp4,4.3953651,1920,1080,13.814,29.97,414,1590.606079,21.46309185,1,0.07618,0.99493,veryfast,6.11,10.86218262,0.149497986,46.55,0.990168933,0.789007796,1.848837209,1.891707991,1.899971248,1.033922463,1.788177814,1.241183363,1.829642028,1.837634171
19,Black_locust.mp4,3.1241512,1920,1080,41.942,29.97,1257,1347.441528,55.20567608,1,0.30922,0.96056,faster,46.88,1089.953613,45.54983425,32.96,0.961200422,0.628533413,1,1.164246697,1.002941625,1.013775621,0.986411568,1,1.148426411,0.989313221
20,Boat_10.mp4,2.9172387,1920,1080,47.247,29.97,1416,1490.709106,68.79898834,1,0.14306,0.90023,faster,34.04,103.1182861,4.854448318,40.97,0.969594262,0.590438096,1.009433962,1.009179804,1.006869002,1.031023628,0.97905997,1.00589836,0.97881346,0.97657219
21,Boat_11.mp4,2.9075215,1920,1080,43.544,29.97,1305,1471.972168,62.60915565,1,0.15711,0.90749,veryfast,32.27,139.7770996,6.064343452,39.38,0.961093174,0.610799884,1,1.002454959,1.00382293,1.033965837,0.967149943,1,0.969524257,0.970847289
22,Boat_13.mp4,3.466316,1920,1080,22.589,29.97,677,1334.269775,29.44265461,1,0.02274,0.98528,veryfast,11.3,192.8225098,4.339945793,37.38,0.946171331,0.542657649,1.141509434,1.203214135,1.17920197,1.016619831,1.122847891,1,1.183543836,1.159924225
23,Boat_15.mp4,3.3786114,1920,1080,30.497,29.97,914,1455.342407,43.35534,1,0.07267,0.98446,veryfast,24.27,668.4995117,20.31364441,34.39,0.957428705,0.604411871,1.096153846,1.221122614,1.141438741,1.023709091,1.070766936,1,1.192841428,1.115003033
24,Boat_17.mp4,3,1920,1080,31.398,29.97,941,1709.297241,52.42286491,1,0.1834,0.8942,slower,215.63,354.3114014,11.08451653,39.7,0.981661008,0.723005252,2,2,2,2,1,1,1,1
25,Boat_18.mp4,3.9779388,1920,1080,30.063,29.97,901,1645.698853,48.32733727,1,0.07259,0.98315,faster,19.33,71.87597656,2.153008461,42.37,0.982030985,0.640891889,1.292207792,1.55248911,1.287690248,1.036392108,1.246832914,1.002348639,1.497974655,1.242474001
26,Boat_19.mp4,4.3944547,1920,1080,30.764,29.97,922,1532.210571,46.04416943,1,0.02267,0.9962,veryfast,13.1,20.66064453,0.633306503,43.53,0.982231538,0.572693305,1.485148515,1.704035155,1.327161778,1.027737403,1.445066133,1,1.658045285,1.291343269
27,Boat_3.mp4,3.9404285,1920,1080,28.328,29.97,849,1509.910645,41.78173256,1,0.15421,0.90725,faster,16.3,84.99707031,2.399107933,40.86,0.964728126,0.560794689,1.311111111,1.490886542,1.252003159,1.028822337,1.274380487,1,1.44911953,1.216928437
28,Boat_9.mp4,2.959148,1920,1080,48.582,29.97,1456,1379.781128,65.47965813,1,0.05724,0.96578,veryfast,29.65,135.9747314,6.582079887,38.48,0.950169902,0.565769174,1,1.021655769,1.019510189,1.027716742,0.973030758,1,0.994102487,0.992014771
29,Bridge_3.mp4,3.2354878,1920,1080,31.064,29.97,931,1398.116455,42.42569637,1,0.0077,0.99691,veryfast,13.75,88.17541504,2.729192734,39.17,0.962405342,0.590607213,1.111111111,1.06601405,1.128416669,1.019911504,1.089419137,1.001706288,1.045202496,1.106386842
30,Bridge_4_timelapse.mp4,4.6735691,1920,1080,32.266,29.97,967,1552.269531,48.92345333,1,0.0486,0.9674,fast,19.15,81.70031738,2.62654686,40.87,0.983017623,0.700920395,1.573033708,1.736503181,1.60802776,1.052207541,1.494984256,1,1.650342839,1.528242003
