Width,Height,Frames.per.Second,Original.Bitrate,Scene.Count,Avg.Motion,Avg.PCC,Compression.Preset
1920,808,30,1808.66333,24,0.35799,0.55271,medium
1920,1080,29.97,1589.025879,1,0.24408,0.94504,faster
1920,1080,29.97,1825.014893,1,0.00156,0.99646,veryfast
1280,620,29,604.201416,6,0.02861,0.89187,veryfast
1920,808,30,1220.777466,39,0.3588,0.8,faster
1920,808,30,828.4587402,35,0.3384,0.7,faster
1280,720,23.976,278.225708,182,0.21512,0.63227,slower
1280,720,23.976,416.0251465,185,0.20892,0.56572,slower
1280,720,23.976,395.7220459,212,0.21282,0.56813,fast
1280,720,23.976,285.4255371,187,0.21327,0.61337,slower
1920,798,30,1132.62854,1,0.2171,0.94,faster
1920,798,30,1929.886353,5,0.5029,0.63,fast
1920,798,30,1250.937134,1,0.2328,0.83,veryfast
1280,720,23.976,162.4312744,7,0.2644,0.58,slower
1920,1080,24,1025.941895,1,0.14585,0.98138,veryfast
1920,1080,50,321.9112549,1,0.06133,0.96847,faster
1280,720,29.97,289.5743408,1,0.33622,0.84772,fast
1920,1080,25,326.7354736,1,0.05723,0.98605,veryfast
1920,1080,29.97,1490.595581,1,0.07508,0.92989,veryfast
1920,798,30,793.5748291,1,0.3253,0.95,veryfast
1920,798,30,841.3157959,2,0.3114,0.91,veryfast
1920,816,24,612.875,2,0.06957,0.89584,veryfast
1920,816,24,458.375,1,0.17339,0.92022,veryfast
1920,816,24,545.25,1,0.09452,0.92224,faster
1920,816,24,526.125,1,0.12157,0.92951,veryfast
1920,816,24,726.125,2,0.22824,0.85747,medium
1920,816,24,1066.25,1,0.17105,0.82503,faster
1920,816,24,443.75,1,0.04935,0.32151,fast
1920,1080,25,1519.837769,1,0.0201,0.99,veryfast
1280,720,23.976,356.9372559,1,0.40053,0.82415,fast
1920,1080,23.976,329.1993408,1,7.00E-04,0.98686,faster
1920,1080,29.97,511.9628906,1,0.5485,0.6535,veryfast
1024,576,25,375.8397217,10,0.3515,0.95,slow
1920,1080,29.97,549.3164063,10,0.23207,0.82936,veryfast
640,360,29.97,89.2935791,13,0.13452,0.76019,faster
1920,1080,24,2185.255981,1,0.17086,0.96,fast
