frame,value
456,0.521051
457,0.515979
458,0.531184
459,0.528072
460,0.570199
461,0.516359
462,0.513999
463,0.522160
464,0.523518
465,0.569361
466,0.513527
467,0.514491
468,0.527215
469,0.523914
470,0.571381
471,0.526349
472,0.517333
473,0.526319
474,0.521483
475,0.566654
476,0.520444
477,0.513727
478,0.524877
479,0.521351
480,0.560293
481,0.532476
482,0.528251
483,0.536390
484,0.539011
485,0.580274
486,0.542563
487,0.530191
488,0.538176
489,0.541639
490,0.579782
491,0.533893
492,0.524356
493,0.532293
494,0.530436
495,0.566348
496,0.526944
497,0.526990
498,0.538095
499,0.523166
500,0.672036
501,0.506124
502,0.523729
503,0.543134
504,0.540630
505,0.603599
506,0.536954
507,0.522978
508,0.542731
509,0.544900
510,0.585241
511,0.516678
512,0.516913
513,0.514659
514,0.512551
515,0.595222
516,0.528887
517,0.556957
518,0.582030
519,0.584264
520,0.638355
521,0.533041
522,0.524880
523,0.567995
524,0.556636
525,0.601533
526,0.559799
527,0.539434
528,0.594353
529,0.507191
530,0.596592
531,0.556985
532,0.512334
533,0.517728
534,0.529207
535,0.596964
536,0.541326
537,0.554208
538,0.525092
539,0.529732
540,0.580006
541,0.546510
542,0.549097
543,0.554564
544,0.554538
545,0.600370
546,0.550306
547,0.547838
548,0.577868
549,0.568529
550,0.589771
551,0.570520
552,0.561093
553,0.551093
554,0.555803
555,0.587514
556,0.546312
557,0.525626
558,0.565424
559,0.579354
560,0.608993
561,0.548503
562,0.548674
563,0.555997
564,0.545551
565,0.577626
566,0.532842
567,0.512439
568,0.513832
569,0.515005
570,0.580874
571,0.516679
572,0.505976
573,0.527317
574,0.538917
575,0.566099
576,0.534668
577,0.537449
578,0.540399
579,0.527486
580,0.574955
581,0.532758
582,0.519794
583,0.516261
584,0.523831
585,0.568741
586,0.530624
587,0.523953
588,0.533475
589,0.536947
590,0.576786
591,0.532520
592,0.522298
593,0.527610
594,0.527411
595,0.574194
596,0.533762
597,0.515595
598,0.496869
599,0.487199
600,0.572141
601,0.526073
602,0.496897
603,0.501707
604,0.512164
605,0.561171
606,0.513360
607,0.489330
608,0.501563
609,0.512605
610,0.555578
611,0.490694
612,0.489904
613,0.496819
614,0.506226
615,0.548258
616,0.511648
617,0.484220
618,0.485934
619,0.495004
620,0.542724
621,0.511074
622,0.478254
623,0.487344
624,0.496737
625,0.534461
626,0.489336
627,0.491818
628,0.489381
629,0.480023
630,0.565643
631,0.546632
632,0.508010
633,0.499317
634,0.518795
635,0.565964
636,0.505165
637,0.496954
638,0.523143
639,0.533079
640,0.560355
641,0.531303
642,0.528917
643,0.531022
644,0.524001
645,0.570302
646,0.538358
647,0.536429
648,0.540521
649,0.542073
650,0.570629
651,0.548737
652,0.544229
653,0.544418
654,0.533000
655,0.557549
656,0.532649
657,0.531101
658,0.540961
659,0.542624
660,0.563487
661,0.529458
662,0.532235
663,0.539273
664,0.548413
665,0.584740
666,0.513488
667,0.502322
668,0.541622
669,0.538426
670,0.576449
671,0.523117
672,0.516332
673,0.508100
674,0.531634
675,0.548571
676,0.520877
677,0.542528
678,0.561944
679,0.571603
680,0.625098
681,0.584523
682,0.529826
683,0.550686
684,0.575639
685,0.616247
686,0.520701
687,0.496524
688,0.517991
689,0.498776
690,0.548114
691,0.516779
692,0.505584
693,0.512356
694,0.521916
695,0.533780
696,0.498238
697,0.487746
698,0.503558
699,0.504554
700,0.542981
701,0.505761
702,0.496631
703,0.512753
704,0.523933
705,0.528197
706,0.503057
707,0.505845
708,0.506143
709,0.512377
710,0.562141
711,0.507974
712,0.507251
713,0.507836
714,0.543772
715,0.580440
716,0.532508
717,0.508447
718,0.536272
719,0.561120
720,0.600720
721,0.518910
722,0.524055
723,0.531689
724,0.539498
725,0.566460
726,0.515904
727,0.515782
728,0.548904
729,0.522878
730,0.573210
731,0.557971
732,0.504418
733,0.514180
734,0.549407
735,0.614209
736,0.475823
737,0.479316
738,0.539546
739,0.519929
740,0.559856
741,0.534253
742,0.513675
743,0.497721
744,0.547759
745,0.559186
746,0.470539
747,0.512392
748,0.564088
749,0.551427
750,0.710344
751,0.486527
752,0.579832
753,0.559771
754,0.529446
755,0.570204
756,0.557087
757,0.563990
758,0.476223
759,0.506416
760,0.606610
761,0.573693
762,0.514883
763,0.533416
764,0.581327
765,0.586554
766,0.537082
767,0.543922
768,0.548745
769,0.491296
770,0.615495
771,0.574973
772,0.548377
773,0.531318
774,0.517582
