frame,value
456,0.585187
457,0.578629
458,0.592785
459,0.590326
460,0.637328
461,0.579836
462,0.576604
463,0.584081
464,0.587808
465,0.637117
466,0.578395
467,0.575770
468,0.589410
469,0.586180
470,0.638485
471,0.589422
472,0.580743
473,0.590531
474,0.585507
475,0.633440
476,0.581318
477,0.574107
478,0.584973
479,0.577122
480,0.626847
481,0.597425
482,0.590793
483,0.600349
484,0.601567
485,0.647737
486,0.607801
487,0.593523
488,0.603157
489,0.605028
490,0.644884
491,0.597882
492,0.586415
493,0.594968
494,0.590253
495,0.630822
496,0.587744
497,0.584430
498,0.599430
499,0.585025
500,0.731736
501,0.570107
502,0.586250
503,0.606994
504,0.603405
505,0.666738
506,0.599269
507,0.588946
508,0.605530
509,0.603595
510,0.652654
511,0.580688
512,0.582113
513,0.582955
514,0.577676
515,0.659872
516,0.594350
517,0.620731
518,0.644851
519,0.643817
520,0.696562
521,0.598382
522,0.588728
523,0.629323
524,0.615282
525,0.663892
526,0.621638
527,0.602360
528,0.653303
529,0.571002
530,0.659894
531,0.617663
532,0.579000
533,0.585300
534,0.594011
535,0.661763
536,0.602353
537,0.613529
538,0.587716
539,0.589006
540,0.645558
541,0.607833
542,0.609291
543,0.617750
544,0.615376
545,0.663437
546,0.610962
547,0.606668
548,0.636086
549,0.625939
550,0.655399
551,0.629128
552,0.620461
553,0.614318
554,0.614877
555,0.652826
556,0.608858
557,0.589182
558,0.624667
559,0.637272
560,0.672554
561,0.609441
562,0.605397
563,0.616926
564,0.604146
565,0.643525
566,0.597239
567,0.575184
568,0.576887
569,0.575509
570,0.646411
571,0.580750
572,0.569108
573,0.589331
574,0.599585
575,0.634207
576,0.597057
577,0.594524
578,0.598002
579,0.586368
580,0.638243
581,0.592806
582,0.579569
583,0.578306
584,0.584464
585,0.632756
586,0.590848
587,0.584193
588,0.595730
589,0.596895
590,0.641261
591,0.593390
592,0.581960
593,0.589726
594,0.587006
595,0.638043
596,0.594838
597,0.574949
598,0.562003
599,0.549091
600,0.637668
601,0.584660
602,0.558716
603,0.566525
604,0.569818
605,0.624831
606,0.573124
607,0.550374
608,0.562777
609,0.571021
610,0.621783
611,0.548207
612,0.545450
613,0.554874
614,0.564641
615,0.617724
616,0.569260
617,0.539460
618,0.545263
619,0.551242
620,0.609868
621,0.570375
622,0.535923
623,0.546960
624,0.552707
625,0.602467
626,0.545355
627,0.544696
628,0.545109
629,0.533633
630,0.633146
631,0.603353
632,0.559997
633,0.557586
634,0.577053
635,0.631388
636,0.561979
637,0.553250
638,0.580272
639,0.588788
640,0.626687
641,0.591827
642,0.583314
643,0.588589
644,0.581153
645,0.633781
646,0.596497
647,0.590758
648,0.597476
649,0.601239
650,0.636990
651,0.609783
652,0.601232
653,0.604809
654,0.594150
655,0.623505
656,0.588356
657,0.586425
658,0.600108
659,0.597210
