Width,Height,Frames.per.Second,Original.Bitrate,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset
1920,808,30,2048.721924,16,0.2409,0.4,faster
1920,808,30,1808.66333,24,0.35799,0.55271,faster
1280,720,23.976,416.0251465,185,0.20892,0.56572,faster
1280,720,23.976,162.4312744,7,0.2644,0.58,faster
1920,1080,29.97,1612.514282,1,0.09637,0.60249,faster
1920,798,30,1834.600098,3,0.39492,0.60618,faster
1920,1080,24,1095.494629,17,0.18279,0.62345,faster
1920,798,30,1929.886353,5,0.5029,0.63,veryfast
1920,1080,59.94,1776.348389,1,0.21861,0.64901,faster
1920,1080,29.97,511.9628906,1,0.5485,0.6535,veryfast
1920,1080,60,4880.441406,1,0.4596,0.67,faster
1920,808,30,764.5021973,1,0.18853,0.67046,faster
1920,808,30,828.4587402,35,0.3384,0.7,faster
1280,720,23.976,265.3000488,1,0.29482,0.7222,faster
1920,1080,29.97,1587.531372,1,0.54285,0.72889,veryfast
640,360,29.97,89.2935791,13,0.13452,0.76019,veryfast
1920,1080,24,1095.494629,21,0.29039,0.76157,faster
1920,1080,29.97,1565.757202,1,0.14353,0.76475,faster
1280,720,119.88,2197.375,1,0.25199,0.77504,faster
1920,1080,29.97,511.9628906,1,0.42221,0.77508,faster
1280,720,23.976,459.7047119,1,0.46628,0.78872,faster
1920,808,30,1220.777466,39,0.3588,0.8,faster
1920,1080,29.97,1621.998291,1,0.33283,0.80333,faster
1920,1080,59.94,1913.323364,1,0.31957,0.81171,faster
1920,1080,29.97,511.9628906,1,0.24476,0.81846,faster
596,336,59.94,117.449707,1,0.23271,0.82356,veryfast
1920,816,24,1066.25,1,0.17105,0.82503,faster
1920,1080,29.97,549.3164063,10,0.23207,0.82936,veryfast
1920,798,30,1250.937134,1,0.2328,0.83,veryfast
1280,720,30,405.336792,2,0.13784,0.83454,veryfast
1920,1080,59.94,3051.875,1,0.29856,0.83765,faster
1920,1080,59.94,3051.875,1,0.22755,0.84514,faster
1920,1080,29.97,1595.706787,1,0.23948,0.84653,faster
1280,720,23.976,1122.787354,1,0.25741,0.84744,faster
596,336,50,109.8632813,1,0.19714,0.84904,veryfast
1920,1080,59.94,1696.059937,1,0.05502,0.85115,faster
1920,1080,29.97,1752.190796,2,0.15071,0.8516,veryfast
1920,1080,24,868.3200684,23,0.18962,0.8581,faster
1920,1080,29.97,1456.856812,1,0.48694,0.86035,faster
1920,1080,24,817.5930176,9,0.16213,0.86142,faster
1920,1080,24,1095.494629,9,0.30004,0.86504,faster
1920,1080,23.843,2314.517944,1,0.46547,0.86831,faster
1920,1080,24,654.296875,10,0.18503,0.86892,faster
1920,1080,24,1095.494629,8,0.10642,0.86911,faster
1920,1080,24,402.0966797,22,0.30209,0.86962,faster
1920,1080,24,755.6152344,15,0.17377,0.87726,faster
1920,1080,24,525.706665,6,0.16281,0.87744,faster
1920,1080,59.94,1877.940918,1,0.21734,0.87791,faster
1920,1080,24,509.0925293,1,0.18348,0.87888,faster
1920,1080,29.97,1613.243774,1,0.23912,0.88,faster
1920,1080,24,562.3924561,10,0.14313,0.88018,faster
1280,620,29,604.201416,6,0.02861,0.89187,veryfast
1920,1080,25,3122.967407,1,0.17277,0.89368,faster
1280,720,25,298.1385498,1,0.37065,0.89391,faster
1920,1080,59.94,1682.501465,1,0.25341,0.89419,veryfast
1920,1080,24,831.2988281,32,0.25827,0.89424,faster
1920,1080,29.97,1464.875,1,0.35276,0.89519,faster
1920,816,24,612.875,2,0.06957,0.89584,veryfast
1920,1080,29.97,1490.709106,1,0.14306,0.90023,faster
1920,1080,24,528.9412842,16,0.29201,0.90233,faster
1920,1080,24,424.8046875,6,0.13804,0.90292,faster
1920,1080,24,542.505249,30,0.31701,0.90323,faster
1920,1080,25,1904.912231,1,0.04961,0.90667,faster
1920,1080,29.97,1509.910645,1,0.15421,0.90725,faster
1920,1080,29.97,1471.972168,1,0.15711,0.90749,veryfast
1920,1080,24,526.493042,16,0.13178,0.90877,faster
1920,1080,59.94,6843.75,1,0.25362,0.90947,veryfast
